Second,Volt
-0.006212,5.28
-0.0062112,5.32
-0.0062104,5.28
-0.0062096,5.36
-0.0062088,5.32
-0.006208,5.28
-0.0062072,5.28
-0.0062064,5.32
-0.0062056,5.32
-0.0062048,5.28
-0.006204,5.32
-0.0062032,5.32
-0.0062024,5.32
-0.0062016,5.32
-0.0062008,5.32
-0.0062,5.32
-0.0061992,5.32
-0.0061984,5.28
-0.0061976,5.32
-0.0061968,5.28
-0.006196,5.28
-0.0061952,5.28
-0.0061944,5.28
-0.0061936,5.28
-0.0061928,5.32
-0.006192,5.28
-0.0061912,5.28
-0.0061904,5.28
-0.0061896,5.28
-0.0061888,5.32
-0.006188,5.28
-0.0061872,5.28
-0.0061864,5.28
-0.0061856,5.24
-0.0061848,5.28
-0.006184,5.28
-0.0061832,5.32
-0.0061824,5.32
-0.0061816,5.28
-0.0061808,5.32
-0.00618,5.4
-0.0061792,5.24
-0.0061784,5.32
-0.0061776,5.28
-0.0061768,5.28
-0.006176,5.28
-0.0061752,5.28
-0.0061744,5.28
-0.0061736,5.24
-0.0061728,5.28
-0.006172,5.28
-0.0061712,5.28
-0.0061704,5.32
-0.0061696,5.32
-0.0061688,5.28
-0.006168,5.28
-0.0061672,5.28
-0.0061664,5.28
-0.0061656,5.32
-0.0061648,5.28
-0.006164,5.28
-0.0061632,5.28
-0.0061624,5.28
-0.0061616,5.32
-0.0061608,5.28
-0.00616,5.32
-0.0061592,5.28
-0.0061584,5.32
-0.0061576,5.32
-0.0061568,5.32
-0.006156,5.28
-0.0061552,5.32
-0.0061544,5.32
-0.0061536,5.28
-0.0061528,5.28
-0.006152,5.32
-0.0061512,5.28
-0.0061504,5.28
-0.0061496,5.28
-0.0061488,5.32
-0.006148,5.28
-0.0061472,5.28
-0.0061464,5.28
-0.0061456,5.28
-0.0061448,5.28
-0.006144,5.32
-0.0061432,5.28
-0.0061424,5.32
-0.0061416,5.28
-0.0061408,5.28
-0.00614,5.32
-0.0061392,5.28
-0.0061384,5.32
-0.0061376,5.32
-0.0061368,5.28
-0.006136,5.28
-0.0061352,5.32
-0.0061344,5.28
-0.0061336,5.28
-0.0061328,5.32
-0.006132,5.24
-0.0061312,5.28
-0.0061304,5.32
-0.0061296,5.4
-0.0061288,5.28
-0.006128,5.32
-0.0061272,5.28
-0.0061264,5.28
-0.0061256,5.28
-0.0061248,5.28
-0.006124,5.28
-0.0061232,5.28
-0.0061224,5.32
-0.0061216,5.28
-0.0061208,5.28
-0.00612,5.28
-0.0061192,5.28
-0.0061184,5.32
-0.0061176,5.32
-0.0061168,5.32
-0.006116,5.32
-0.0061152,5.32
-0.0061144,5.28
-0.0061136,5.28
-0.0061128,5.32
-0.006112,5.32
-0.0061112,5.28
-0.0061104,5.28
-0.0061096,5.28
-0.0061088,5.36
-0.006108,5.28
-0.0061072,5.28
-0.0061064,5.32
-0.0061056,5.28
-0.0061048,5.28
-0.006104,5.28
-0.0061032,5.28
-0.0061024,5.32
-0.0061016,5.32
-0.0061008,5.28
-0.0061,5.28
-0.0060992,5.44
-0.0060984,5.28
-0.0060976,5.32
-0.0060968,5.28
-0.006096,5.28
-0.0060952,5.28
-0.0060944,5.24
-0.0060936,5.24
-0.0060928,5.32
-0.006092,5.24
-0.0060912,5.32
-0.0060904,5.28
-0.0060896,5.32
-0.0060888,5.24
-0.006088,5.28
-0.0060872,5.24
-0.0060864,5.32
-0.0060856,5.28
-0.0060848,5.28
-0.006084,5.28
-0.0060832,5.28
-0.0060824,5.28
