Source,CH1
Second,Volt
-0.00621200000,5.16000,
-0.00621120000,5.16000,
-0.00621040000,5.16000,
-0.00620960000,5.16000,
-0.00620880000,5.16000,
-0.00620800000,5.16000,
-0.00620720000,5.16000,
-0.00620640000,5.16000,
-0.00620560000,5.16000,
-0.00620480000,5.20000,
-0.00620400000,5.12000,
-0.00620320000,5.20000,
-0.00620240000,5.16000,
-0.00620160000,5.20000,
-0.00620080000,5.16000,
-0.00620000000,5.16000,
-0.00619920000,5.20000,
-0.00619840000,5.12000,
-0.00619760000,5.16000,
-0.00619680000,5.16000,
-0.00619600000,5.16000,
-0.00619520000,5.16000,
-0.00619440000,5.20000,
-0.00619360000,5.20000,
-0.00619280000,5.20000,
-0.00619200000,5.16000,
-0.00619120000,5.20000,
-0.00619040000,5.20000,
-0.00618960000,5.20000,
-0.00618880000,5.16000,
-0.00618800000,5.16000,
-0.00618720000,5.16000,
-0.00618640000,5.16000,
-0.00618560000,5.16000,
-0.00618480000,5.16000,
-0.00618400000,5.32000,
-0.00618320000,5.16000,
-0.00618240000,5.16000,
-0.00618160000,5.20000,
-0.00618080000,5.20000,
-0.00618000000,5.16000,
-0.00617920000,5.20000,
-0.00617840000,5.16000,
-0.00617760000,5.20000,
-0.00617680000,5.20000,
-0.00617600000,5.20000,
-0.00617520000,5.24000,
-0.00617440000,5.20000,
-0.00617360000,5.24000,
-0.00617280000,5.20000,
-0.00617200000,5.20000,
-0.00617120000,5.16000,
-0.00617040000,5.16000,
-0.00616960000,5.16000,
-0.00616880000,5.16000,
-0.00616800000,5.20000,
-0.00616720000,5.16000,
-0.00616640000,5.20000,
-0.00616560000,5.20000,
-0.00616480000,5.20000,
-0.00616400000,5.20000,
-0.00616320000,5.20000,
-0.00616240000,5.20000,
-0.00616160000,5.20000,
-0.00616080000,5.16000,
-0.00616000000,5.16000,
-0.00615920000,5.20000,
-0.00615840000,5.16000,
-0.00615760000,5.16000,
-0.00615680000,5.20000,
-0.00615600000,5.16000,
-0.00615520000,5.20000,
-0.00615440000,5.16000,
-0.00615360000,5.20000,
-0.00615280000,5.16000,
-0.00615200000,5.20000,
-0.00615120000,5.20000,
-0.00615040000,5.20000,
-0.00614960000,5.16000,
-0.00614880000,5.20000,
-0.00614800000,5.20000,
-0.00614720000,5.16000,
-0.00614640000,5.20000,
-0.00614560000,5.16000,
-0.00614480000,5.12000,
-0.00614400000,5.16000,
-0.00614320000,5.16000,
-0.00614240000,5.20000,
-0.00614160000,5.16000,
-0.00614080000,5.20000,
-0.00614000000,5.16000,
-0.00613920000,5.20000,
-0.00613840000,5.16000,
-0.00613760000,5.20000,
-0.00613680000,5.20000,
-0.00613600000,5.16000,
-0.00613520000,5.20000,
-0.00613440000,5.16000,
-0.00613360000,5.20000,
-0.00613280000,5.16000,
-0.00613200000,5.20000,
-0.00613120000,5.20000,
-0.00613040000,5.20000,
-0.00612960000,5.16000,
-0.00612880000,5.16000,
-0.00612800000,5.16000,
-0.00612720000,5.16000,
-0.00612640000,5.16000,
-0.00612560000,5.16000,
-0.00612480000,5.16000,
-0.00612400000,5.16000,
-0.00612320000,5.12000,
-0.00612240000,5.20000,
-0.00612160000,5.12000,
-0.00612080000,5.16000,
-0.00612000000,5.16000,
-0.00611920000,5.16000,
-0.00611840000,5.16000,
-0.00611760000,5.16000,
-0.00611680000,5.16000,
-0.00611600000,5.16000,
-0.00611520000,5.20000,
-0.00611440000,5.16000,
-0.00611360000,5.20000,
-0.00611280000,5.16000,
-0.00611200000,5.12000,
-0.00611120000,5.20000,
-0.00611040000,5.16000,
-0.00610960000,5.20000,
-0.00610880000,5.12000,
-0.00610800000,5.16000,
-0.00610720000,5.16000,
-0.00610640000,5.16000,
-0.00610560000,5.20000,
-0.00610480000,5.16000,
-0.00610400000,5.16000,
-0.00610320000,5.12000,
-0.00610240000,5.16000,
-0.00610160000,5.20000,
-0.00610080000,5.16000,
-0.00610000000,5.20000,
-0.00609920000,5.16000,
-0.00609840000,5.16000,
-0.00609760000,5.12000,
-0.00609680000,5.16000,
-0.00609600000,5.16000,
-0.00609520000,5.12000,
-0.00609440000,5.16000,
-0.00609360000,5.16000,
-0.00609280000,5.16000,
-0.00609200000,5.36000,
-0.00609120000,5.12000,
-0.00609040000,5.16000,
-0.00608960000,5.16000,
-0.00608880000,5.20000,
-0.00608800000,5.20000,
-0.00608720000,5.12000,
-0.00608640000,5.20000,
-0.00608560000,5.16000,
-0.00608480000,5.20000,
-0.00608400000,5.20000,
-0.00608320000,5.20000,
-0.00608240000,5.16000,
-0.00608160000,5.28000,
-0.00608080000,5.16000,
-0.00608000000,5.20000,
-0.00607920000,5.16000,
-0.00607840000,5.16000,
-0.00607760000,5.16000,
-0.00607680000,5.16000,
-0.00607600000,5.16000,
-0.00607520000,5.16000,
-0.00607440000,5.16000,
-0.00607360000,5.12000,
-0.00607280000,5.16000,
-0.00607200000,5.12000,
-0.00607120000,5.20000,
-0.00607040000,5.16000,
-0.00606960000,5.16000,
-0.00606880000,5.20000,
-0.00606800000,5.16000,
-0.00606720000,5.16000,
-0.00606640000,5.12000,
-0.00606560000,5.16000,
-0.00606480000,5.12000,
-0.00606400000,5.16000,
-0.00606320000,5.16000,
-0.00606240000,5.16000,
-0.00606160000,5.16000,
-0.00606080000,5.16000,
-0.00606000000,5.20000,
-0.00605920000,5.16000,
-0.00605840000,5.16000,
-0.00605760000,5.16000,
-0.00605680000,5.16000,
-0.00605600000,5.16000,
-0.00605520000,5.16000,
-0.00605440000,5.16000,
-0.00605360000,5.16000,
-0.00605280000,5.16000,
-0.00605200000,5.16000,
-0.00605120000,5.16000,
-0.00605040000,5.12000,
-0.00604960000,5.16000,
-0.00604880000,5.12000,
-0.00604800000,5.20000,
-0.00604720000,5.16000,
-0.00604640000,5.16000,
-0.00604560000,5.16000,
-0.00604480000,5.16000,
-0.00604400000,5.12000,
-0.00604320000,5.20000,
-0.00604240000,5.16000,
-0.00604160000,5.16000,
-0.00604080000,5.16000,
-0.00604000000,5.16000,
-0.00603920000,5.20000,
-0.00603840000,5.12000,
-0.00603760000,5.16000,
-0.00603680000,5.16000,
-0.00603600000,5.16000,
-0.00603520000,5.16000,
-0.00603440000,5.16000,
-0.00603360000,5.16000,
-0.00603280000,5.16000,
